# Chinese Lexicon with frequencies
# Format: word|part_of_speech|probability
# === animate (4014 words) ===
囊膪|animate|0.000395
四不像|animate|0.000158
四国犬|animate|0.000158
四川林鸮|animate|0.000053
四川柳莺|animate|0.000053
四川雉鹑|animate|0.000053
四目相对|animate|0.000158
四眼田鸡|animate|0.000105
四声杜鹃|animate|0.000053
四象|animate|0.000395
囝|animate|0.000580
囝仔|animate|0.000369
回回|animate|0.000422
回族人|animate|0.000211
回头率|animate|0.000211
因人而异|animate|0.000105
因爱成恨|animate|0.000158
因材施教|animate|0.000105
囡|animate|0.000606
困兽犹斗|animate|0.000053
圃鹀|animate|0.000316
圉|animate|0.000527
圉人|animate|0.000369
国民|animate|0.000369
园长|animate|0.000422
图阿雷格|animate|0.000105
土库曼人|animate|0.000105
土牛木马|animate|0.000053
土狗|animate|0.000316
土生土长|animate|0.000105
土耳其人|animate|0.000105
土著人|animate|0.000211
土豪|animate|0.000369
地利人和|animate|0.000158
地瓜鸟|animate|0.000158
地笼|animate|0.000316
坐骑|animate|0.000316
坤包|animate|0.000422
坦克|animate|0.000316
垂髫|animate|0.000369
垟|animate|0.000527
埃及夜鹰|animate|0.000053
基民|animate|0.000369
块体|animate|0.000369
塔吉克人|animate|0.000105
塔塔儿|animate|0.000211
塔塔儿人|animate|0.000105
塔尾树鹊|animate|0.000053
塞特犬|animate|0.000158
塞翁失马|animate|0.000211
垫脚|animate|0.000316
垫脚石|animate|0.000264
墓主|animate|0.000369
墨客|animate|0.000369
墨迹|animate|0.000369
坏人|animate|0.000422
坏肠子|animate|0.000211
坏鸟|animate|0.000369
壮丁|animate|0.000369
寿带|animate|0.000369
寿星|animate|0.000422
寿礼|animate|0.000475
寿诞|animate|0.000475
寿辰|animate|0.000475
夏娃|animate|0.000475
外协|animate|0.000369
外场人|animate|0.000264
外心|animate|0.000422
外教|animate|0.000264
外卖员|animate|0.000264
外食族|animate|0.000211
多管闲事|animate|0.000105
多面手|animate|0.000211
夜叉|animate|0.000369
夜鸟|animate|0.000316
夜鹰|animate|0.000316
夜鹭|animate|0.000316
大丈夫|animate|0.000211
大丹犬|animate|0.000158
大仙鹟|animate|0.000158
